,Ticker,Score,PE_Ratio,PB_Ratio,ROE,Dividend_Yield,Upside_Potential,Current_Price,Target_Price
458,UBER,5,36.42118,10.526052,0.34326,,21.59329140461217,73.935,89.9
440,TEL,5,14.362668,3.6050491,0.26461,0.0173,13.85091913002492,148.51,169.08
462,UAL,5,9.486293,2.2884498,0.27245,,14.687774846086189,79.59,91.28
224,HIG,5,11.129919,1.9334438,0.19740999,0.0187,12.58953217745864,110.854,124.81
57,BAC,4,15.115943,1.1794974,0.08092,0.0252,10.690316395014388,41.72,46.18
66,BK,4,16.957497,1.4638575,0.08563,0.0251,7.269129287598952,75.8,81.31
65,BX,4,57.810993,18.434143,0.22041,0.0207,-0.7014206740771467,168.23,167.05
280,KHC,4,30.166666,0.8376695,0.027999999,0.0479,11.333432880394213,33.485,37.28
281,KR,4,15.002619,4.644999,0.24285999,0.0227,3.4374454719944048,57.31,59.28
61,BBY,4,15.967184,6.397481,0.4241,0.0405,12.75283937263385,92.45,104.24
312,MRK,4,21.262552,5.9131374,,0.030199999,32.26742755940375,101.635,134.43
467,VLO,4,11.557168,1.6473604,0.13797,0.032899998,17.11122103420721,131.405,153.89
21,MO,4,9.164696,,,0.0757,-0.8570638650815643,54.255,53.79
29,AMT,4,51.033657,27.242397,0.17691,0.0306,13.59868111163447,212.3,241.17
33,AMGN,4,40.74074,22.779207,0.5572,0.028399998,4.764890282131651,319.0,334.2
275,KMB,4,17.424871,34.913055,2.30998,0.0365,12.079988105857865,134.52,150.77
494,WMB,4,22.905172,5.2833567,0.20376,0.0364,-6.3041023710952215,53.14,49.79
308,MKC,4,26.821428,3.9031336,0.15067,0.0215,9.022890114767602,78.855,85.97
109,CSCO,4,22.086615,4.9453454,0.22982,0.0287,1.21212121212122,56.1,56.78
270,K,4,26.998327,7.6234775,0.26036,0.028299998,-78.9532362960669,80.725,16.99
83,CPB,4,24.746033,3.6734211,0.15203,0.0319,9.963651913619831,46.77,51.43
433,SYY,4,19.594088,16.960615,0.88346,0.0271,11.071751879403301,76.221,84.66
266,JNJ,4,26.18543,5.4268465,0.20889,0.0313,11.102680829539713,158.16,175.72
463,UPS,4,21.480806,6.7549706,0.31422,0.049000002,11.577477267778423,133.181,148.6
461,UNP,4,21.405245,8.515096,0.43396,0.0233,11.326958203502713,232.675,259.03
79,CHRW,4,36.212803,7.5350995,0.22818,0.0242,4.438392814485681,104.655,109.3
445,TXN,4,37.68587,10.70825,0.29293,0.026700001,1.7953144266337873,202.75,206.39
247,ITW,4,23.055794,23.210398,1.08036,0.0227,-3.7726292092674085,266.525,256.47
244,IBM,4,30.235037,7.833207,0.26729,0.0324,3.157742262565777,207.11,213.65
229,HSY,4,19.913525,9.060735,0.47917998,0.0306,8.401068923282494,179.62,194.71
439,TGT,4,15.592554,4.8235707,0.33968,0.0299,16.812574612017507,150.78,176.13
112,CLX,4,56.447918,335.1959,2.08451,0.03,-1.4516823522174982,162.57,160.21
420,SNA,4,17.123781,3.1973453,0.20599002,0.0225,1.0797840431913786,333.4,337.0
110,C,4,18.058405,0.6220009,0.03874,0.035,15.516289342904477,63.385,73.22
234,HD,4,26.809685,89.56638,5.13362,0.0228,2.0568905834545737,398.66,406.86
215,GIS,4,16.208334,4.0790343,0.24168,0.0352,9.878810135879545,68.075,74.8
416,SPG,4,23.05851,21.172161,0.81232,0.048800003,-1.6320645905421038,173.4,170.57
117,CL,4,27.033045,176.8327,4.87923,0.0214,11.857560457082105,94.075,105.23
115,KO,4,27.12033,10.622461,0.3723,0.0298,13.968788249693986,65.36,74.49
417,SWKS,4,18.17975,2.2176576,0.12777,0.0318,26.54847141720651,87.99,111.35
111,CFG,4,16.480392,0.819904,0.05426,0.0404,11.052944675788234,42.025,46.67
343,NSC,4,23.541706,4.122532,0.18303,0.0218,9.630160436323099,251.19,275.38
235,HON,4,24.280693,7.8553047,0.31865,0.0218,6.876465966743828,210.2708,224.73
344,NTRS,4,12.622665,1.693454,0.13732,0.0299,2.190213101815308,101.36,103.58
239,HPQ,4,12.754386,,,0.0306,-2.8885832187070304,36.35,35.3
242,HBAN,4,15.03398,1.2352425,0.08545,0.0402,7.846302873748789,15.485,16.7
181,EVRG,4,18.875,1.4313475,0.07796,0.043,6.407284768211907,60.4,64.27
135,CMI,4,25.3078,5.073108,0.1894,0.0224,-5.014849384811204,353.55,335.82
133,CCI,4,38.39007,8.891992,0.20527,0.057800002,8.294845741732848,108.26,117.24
195,FITB,4,14.346667,1.5591943,0.119160004,0.0345,8.875464684014878,43.04,46.86
138,DRI,4,18.527105,8.841856,0.48619,0.0353,14.069600946274052,160.63,183.23
396,O,4,54.055553,1.3285694,0.02513,0.0533,10.859883521754021,58.38,64.72
374,PSX,4,15.575352,1.7535625,0.11121,0.038,20.249272272559548,121.955,146.65
177,ERIE,4,37.7591,10.855502,0.31418,0.0127,,404.4,
381,PG,4,28.696026,7.665159,0.28766,0.024400001,8.359915738790246,166.15,180.04
370,PEP,4,24.712076,11.843238,0.48819,0.0326,8.823266485890535,167.795,182.6
187,XOM,4,14.737235,1.9364128,0.14513999,0.0334,9.97126922426903,118.34,130.14
357,OKE,4,20.84428,3.403383,0.16875,0.0414,3.4304009757585074,98.385,101.76
366,PAYX,4,29.825161,13.07412,0.45672,0.028099999,-4.5324563911924525,139.88,133.54
183,EXC,4,15.7674885,1.4461764,0.0933,0.04,12.932271956152963,38.315,43.27
193,FDX,4,16.974052,2.4706454,0.1507,0.020399999,11.593505183037433,274.8099,306.67
378,PPG,4,19.725832,3.7078853,0.19149,0.021300001,18.807744838113607,124.47,147.88
293,LMT,4,19.728655,17.874,0.81037,0.024300002,10.733541169998183,545.3,603.83
387,PSA,4,34.982365,11.226406,0.19163999,0.0361,3.8786584823414127,337.23,350.31
10,APD,4,26.713293,4.52641,0.16211,0.0231,8.247959150486217,307.47,332.83
14,ARE,4,69.006096,1.0700036,0.02132,0.046,17.593001678890175,113.17,133.08
485,WBD,4,,0.58410054,-0.28667,,26.450824679291387,8.185,10.35
482,WBA,3,,0.790388,-0.75969005,0.1071,4.9712192569335345,9.555,10.03
480,GWW,3,30.310133,15.559867,0.52611,0.0075,-5.316116348688615,1119.05,1059.56
479,WRB,3,14.868895,2.832101,,0.0053,8.41977869986168,57.84,62.71
487,WAT,3,36.850475,14.329148,0.4964,,-2.2045331196857365,386.93,378.4
486,WM,3,32.900455,10.856489,0.35025,0.0139999995,7.706635407062135,215.827,232.46
483,WMT,3,43.526043,7.953745,0.18531999,0.0101,2.9316740457101975,83.57,86.02
16,ALLE,3,21.583076,7.762408,0.40822,0.0138,5.26765984745885,140.29,147.68
15,ALGN,3,36.112625,4.0097013,0.11401,,22.077308382950566,211.62,258.34
11,ABNB,3,18.74966,10.919103,0.74175,,-5.3261737174370545,137.81,130.47
9,A,3,29.247915,6.838285,0.24658,0.0068,5.9975781750837065,140.39,148.81
8,AFL,3,15.606984,2.354992,0.16038,0.0191,-1.2043604512781414,105.035,103.77
50,ADP,3,31.092949,22.183855,0.87263,0.019299999,1.3331958904580388,291.03,294.91
303,MMC,3,27.270937,7.9437513,0.32048,0.0147,5.473265895953761,221.44,233.56
301,MKTX,3,40.172665,7.936328,0.21017,0.010299999,0.222063037249276,279.2,279.82
296,LULU,3,24.676859,9.78441,0.43159,,-1.2028542303771594,318.825,314.99
291,LYV,3,106.51818,,0.52389,,6.307075189895017,117.17,124.56
498,XYL,3,35.122128,2.8037758,0.08081,0.0119,24.311720188177553,122.225,151.94
1,AOS,3,19.907652,5.707693,0.29544002,0.018099999,9.595758780649422,75.45,82.69
163,ECL,3,34.60364,10.532441,0.25164,0.0093,10.094305257619297,247.07,272.01
382,PGR,3,17.872818,5.3044453,0.36411,0.0017,11.060057740007313,245.93,273.13
377,POOL,3,31.119108,9.654658,0.31463,0.013300001,5.182288798325807,363.16,381.98
369,PNR,3,25.40375,4.7988195,0.20408002,0.0092,7.818727550066429,101.615,109.56
368,PYPL,3,18.88756,3.93687,0.22188,,11.956934768841032,78.95,88.39
367,PAYC,3,26.008423,8.029498,0.32584998,0.0070999996,-8.309813538148337,216.13,198.17
365,PH,3,29.29955,6.491582,0.24641001,0.010199999,5.972788069797819,650.45,689.3
363,PANW,3,50.20548,23.047415,0.74517995,,5.375170532060025,366.5,386.2
358,ORCL,3,44.154663,43.894463,1.55578,0.0094,5.842805368430226,171.3201,181.33
191,FAST,3,38.915424,12.457398,0.32698002,0.02,-9.192022500639219,78.22,71.03
189,FDS,3,33.66691,9.2867775,0.30411,0.009,-1.8783255336880633,467.97,459.18
188,FFIV,3,24.337696,4.314794,0.19117,,1.3488222007099093,232.425,235.56
185,EXPD,3,26.004282,7.846989,0.28525,0.0121,-4.240777338603419,121.44,116.29
184,EXPE,3,29.84296,24.327545,0.25459,,-6.586826347305397,165.33,154.44
162,EBAY,3,15.382872,5.430858,0.35851002,0.0179,1.0152284263959421,61.07,61.69
161,ETN,3,35.75,6.947057,0.20079,0.0114,7.010861478946584,336.05,359.61
154,DOV,3,17.375113,4.605976,0.2911,0.0109,9.853633037114484,191.3,210.15
401,RMD,3,32.576157,6.9489174,0.23565,0.0087,1.5247001423053463,245.95,249.7
400,RSG,3,32.226036,5.6287665,0.18284,0.0116,10.774035244256064,201.735,223.47
394,RJF,3,15.050568,2.696596,0.19348,0.0124,1.3645090510148172,145.84,147.83
393,RL,3,19.58937,5.3449507,0.28403,0.0165,0.9913686806411803,202.75,204.76
182,ES,3,,1.5087546,,0.045100003,21.886237332461576,61.18,74.57
179,EL,3,117.64285,4.651885,0.03857,0.0211,20.9016393442623,65.88,79.65
210,GEHC,3,24.021917,4.8162594,0.21853,0.0014,10.32162408759123,87.68,96.73
208,IT,3,48.81113,61.481903,1.34407,,2.049687624876939,513.005,523.52
207,GRMN,3,25.95934,5.22921,0.21909,0.015,-18.458149779735688,204.3,166.59
206,FCX,3,33.86232,3.728259,0.16870001,0.012999999,18.895784292745567,46.73,55.56
205,BEN,3,24.564705,0.8469557,0.0427,0.0615,-3.5919540229885083,20.88,20.13
201,FTNT,3,46.384613,207.93103,4.30883,,-0.26789131266742316,78.39,78.18
407,RCL,3,21.03009,8.002061,0.44263,0.0078,4.464157962512516,209.67,219.03
403,ROK,3,30.431896,9.14722,0.25676,0.0198,2.5642938400999515,268.105,274.98
141,DECK,3,28.654594,11.088814,0.4357,,16.32395104356137,162.185,188.66
139,DVA,3,15.87069,31.470087,0.44884,,8.90141227593697,147.28,160.39
134,CSX,3,18.042553,5.058911,0.29458,0.014400001,13.443396226415082,33.92,38.48
226,HCA,3,16.402966,,11.954511,0.0073,12.67493769342427,365.13,411.41
221,GDDY,3,13.481541,66.081825,,,9.108227169901184,167.98,183.28
